no,title,county,countycode,town,areacode,address,person_in_charge,tel,bed_for_caring,bed_for_nursing,bed_for_longterm,bed_for_azh
185,新北市私立馨安老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,思源路119號3樓、121號3樓、123號3樓,黃湘茹,(02)29921656,39,0,0,0
186,新北市私立安馨老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,思源路119號4樓、121號4樓、123號4樓,侯嘉珍,(02)29920766,42,0,0,0
187,新北市私立常福緣老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,思源路87巷18號3樓,呂宗紘,(02)89933507,38,0,0,0
188,新北市私立景頤老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,思源路87巷18號3樓之1,游皓傑,(02)22772203,44,0,0,0
189,新北市私立景福老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,新莊路192號,謝天,(02)22798833,35,0,0,0
190,新北市私立老吾老老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,新樹路315巷1號4樓、1號5樓,邱垂諒,(02)22020119,46,0,0,0
191,新北市私立佳康老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,雙鳳路109號4樓、111號4樓、113號4樓,羅淑玲,(02)29083466,49,0,0,0
192,新北市私立盛禾老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,雙鳳路117號4樓、119號4樓、121號4樓,李梓帆,(02)29081656,47,0,0,0
193,新北市私立吉康老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,雙鳳路121號6樓,黃秋雄,(02)29031720,29,0,0,0
194,新北市私立健安老人長期照顧中心(養護型),新北市,65000,新莊區,65000050,雙鳳路121號7樓、123號7樓,廖文義,(02)29031356,37,0,0,0
195,新北市私立宏祈老人長期照顧中心(養護型),新北市,65000,瑞芳區,65000120,大埔路110號,簡文生,(02)24579446,48,0,0,0
196,新北市私立頤瑞老人長期照顧中心(養護型),新北市,65000,瑞芳區,65000120,明燈路3段180號、180號2樓、180號3樓,王妗濰,(02)24063372,49,0,0,0
197,財團法人新北市私立馨園老人養護中心,新北市,65000,萬里區,65000280,公舘崙23-1號,應堃煇,(02)24989331,160,0,0,0
198,新北市立仁愛之家,新北市,65000,萬里區,65000280,玉田路61號,吳欽仁,(02)24922511,174,242,0,0
199,新北市私立慈嘉老人長期照顧中心(養護型),新北市,65000,樹林區,65000070,大安路323巷10弄14號、16號、18號、20號,林彩吟,(02)26863706,38,0,0,0
200,新北市私立嘉恩老人長期照顧中心(養護型),新北市,65000,樹林區,65000070,大安路512號3樓、516號3樓、518號3樓,簡瑾甄,(02)26833348,47,0,0,0
201,新北市私立恆愛老人長期照顧中心(養護型),新北市,65000,樹林區,65000070,中山路2段151巷12號5樓、12之1號5樓,林瑞明,(02)86852927,40,0,0,0
202,新北市私立禾閤老人長期照顧中心(養護型),新北市,65000,樹林區,65000070,中山路2段162號,張雅玲,(02)26852999,33,0,0,0
203,新北市私立慈泰老人長期照顧中心(養護型),新北市,65000,樹林區,65000070,中正路632巷1號,簡士閔,(02)26899333,47,0,0,0
204,新北市私立嘉宥老人長期照顧中心(養護型),新北市,65000,樹林區,65000070,中正路632巷1號（2層）,簡瑾甄,(02)26883267,49,0,0,0
205,新北市私立保安老人長期照顧中心(養護型),新北市,65000,樹林區,65000070,保安街二段64號4樓、64號5樓、64號6樓,唐台勇,(02)26863810,49,0,0,0
206,新北市私立恩祥老人長期照顧中心(養護型),新北市,65000,蘆洲區,65000140,三民路26巷51號3樓,黃冠銘,(02)22885959,49,0,0,0
207,新北市私立吉立老人養護中心,新北市,65000,蘆洲區,65000140,中山一路238、240號各2樓,王輝鴻,(02)22855703,19,0,0,0
208,新北市私立佳緣老人長期照顧中心(養護型),新北市,65000,鶯歌區,65000080,中山路41號、41號2樓、41號3樓、41號4樓,邱菊珍,(02)26707278,47,0,0,0
209,新北市私立愛鄰田園老人長期照顧中心(養護型),新北市,65000,鶯歌區,65000080,建國路596巷38號、40號,陳達彥,(02)86773288,40,0,0,0
210,新北市私立溫馨園老人長期照顧中心(養護型),新北市,65000,鶯歌區,65000080,建國路85號4樓,蕭曙球,(02)26782277,49,0,0,0
